City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
89,leo,BF,80.56,clear sky,11.1,-2.1,Hotel Sissilis
90,san policarpo,PH,80.38,light rain,12.18,125.51,Zal-Ann Beach Resort
91,taoudenni,ML,88.47,clear sky,22.68,-3.98,
92,bilma,NE,75.34,clear sky,18.69,12.92,Expeditions Ténére voyages
93,dingle,PH,75.29,heavy intensity rain,11.0,122.67,Camp Pasica
94,veracruz,MX,89.6,scattered clouds,19.33,-96.67,El Carrizal
95,gao,ML,83.26,clear sky,16.64,1.64,
96,domoni,KM,77.2,clear sky,-12.26,44.53,Loulou
97,soure,BR,83.71,overcast clouds,-0.72,-48.52,Hotel Marajó
98,kimbe,PG,75.92,overcast clouds,-5.55,150.14,Kimbe Bay Hotel
99,lorengau,PG,81.81,overcast clouds,-2.02,147.27,Lorengau Harbourside Hotel
100,negombo,LK,82.4,few clouds,7.21,79.84,Hotel Sunset Beach
101,santa rosalia,MX,85.1,clear sky,27.32,-112.28,Hotel Las Casitas Santa Rosalia
102,alugan,PH,79.75,light rain,12.22,125.48,BEMBEM RAIN FEED RESORT
103,akyab,MM,79.41,clear sky,20.15,92.9,Hotel Memory
104,kirakira,SB,80.24,light rain,-10.45,161.92,SanBiz Lodge
105,kota kinabalu,MY,75.2,scattered clouds,5.97,116.07,Gaya Centre Hotel
106,hirara,JP,75.42,overcast clouds,24.8,125.28,Hotel Atoll Emerald Miyakojima
107,yanam,IN,75.36,scattered clouds,16.73,82.22,The Regency Hotel
108,labrea,BR,77.14,moderate rain,-7.26,-64.8,Hotel Novo Horizonte
109,namatanai,PG,79.2,moderate rain,-3.67,152.43,Namatanai Hotel
110,malakal,SS,80.65,clear sky,9.53,31.66,Nile Palace Hotel
111,dosso,NE,84.51,overcast clouds,13.05,3.19,Hotel Toubal
112,lingao,CN,76.05,light rain,19.91,109.69,Lingao Ditai Inn
113,pangai,TO,75.2,light intensity shower rain,-19.8,-174.35,Ha'apai Beach Resort
114,seminole,US,87.01,overcast clouds,28.71,-81.21,Ono Hot Dog Cart and Catering
115,kidal,ML,81.0,clear sky,18.44,1.41,
116,sumenep,ID,81.73,broken clouds,-7.02,113.87,OYO 3271 Homestay Pandian
117,piacabucu,BR,79.27,clear sky,-10.41,-36.43,Piaçabuçu News
118,pemangkat,ID,79.12,overcast clouds,1.17,108.97,Kost H.Syamsuddin
119,jerez,GT,84.2,scattered clouds,14.1,-89.75,PRIMER IGLESIA BAUTISTA MONTE LOS OLIVOS EL TANQUE
120,aloleng,PH,81.46,overcast clouds,16.13,119.78,Agno Umbrella Rocks
121,hamirpur,IN,76.23,clear sky,25.95,80.15,Bundalkhand kurara transport company
122,takoradi,GH,77.94,light rain,4.88,-1.76,Raybow International Hotel
123,quatre cocos,MU,75.2,shower rain,-20.21,57.76,Emeraude Beach Attitude Hotel
124,champerico,GT,89.6,scattered clouds,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
125,papetoai,PF,82.4,shower rain,-17.5,-149.87,InterContinental Resort And Spa Moorea
126,mitsamiouli,KM,79.09,clear sky,-11.38,43.28,Foyer ADM
127,waingapu,ID,78.69,overcast clouds,-9.66,120.26,Pondok Wisata Elim
128,biltine,TD,81.41,few clouds,14.53,20.92,Hôtel Trois Étoiles de Biltine
129,sao paulo de olivenca,BR,82.98,light rain,-3.38,-68.87,
130,buckeye,US,86.0,clear sky,33.37,-112.58,Buckeye Motor Hotel
131,banjar,ID,78.8,few clouds,-8.19,114.97,The Hamsa Resort
132,jiwani,PK,76.24,clear sky,25.05,61.74,Al Mumtaz Transport Jiwani
133,ranau,MY,75.2,scattered clouds,5.95,116.66,Ranau Backpackers Hostel
134,kailua,US,82.99,overcast clouds,21.4,-157.74,Sheffield House Bed & Breakfast
135,taperoa,BR,87.13,broken clouds,-7.21,-36.83,Pousada Santo Inácio
136,filingue,NE,88.41,clear sky,14.35,3.32,
137,umm lajj,SA,79.61,clear sky,25.02,37.27,Moon light Furnished Units
138,manta,EC,77.0,few clouds,-0.95,-80.73,Balandra Hotel
139,meulaboh,ID,76.24,overcast clouds,4.14,96.13,Kost Pria
140,arawa,PG,77.29,scattered clouds,-6.21,155.54,Coastline Guest House
141,porto novo,BJ,80.6,thunderstorm,6.5,2.6,Tour Eiffel Hotel Benin
142,omaruru,,75.11,few clouds,-21.43,15.93,"Kashana, Omaruru, Namibia"
143,cururupu,BR,84.52,scattered clouds,-1.83,-44.87,Pousada Través'cia
144,dao,PH,75.34,moderate rain,11.39,122.69,Dao Plaza & Recreation
145,antsohihy,MG,78.13,scattered clouds,-14.88,47.99,Hotel de Ville
146,black river,JM,80.01,few clouds,18.03,-77.85,Idlers' Rest Beach Hotel
147,san ignacio,BZ,87.8,scattered clouds,17.16,-89.07,Rainforest Haven Inn
148,rio grande,BR,75.99,scattered clouds,-32.03,-52.1,Hotel Atlântico Rio Grande
